,Tweet,target,tokenized_tweet,cleaned_tweet
0,طوال حياتي المس تغير قدمت الحكومة نقف بجانها بصوتنا,1,طوال حياتي المس تغير قدمت الحكومة نقف بجانها بصوتنا,"['طوال', 'حياتي', 'المس', 'تغير', 'قدمت', 'الحكومة', 'نقف', 'بجانها', 'بصوتنا']"
1,منتوج رائع وثمن مناسب ....جميل,1,منتوج رائع وثمن مناسب جميل,"['منتوج', 'رائع', 'وثمن', 'مناسب', 'جميل']"
2,كلنا ابن كيران لمتافق معايا يدير جيم,1,كلنا ابن كيران لمتافق معايا يدير جيم,"['كلنا', 'ابن', 'كيران', 'لمتافق', 'معايا', 'يدير', 'جيم']"
3,وفقك الله لولاية حقاش مكينش محسن منك,1,وفقك الله لولاية حقاش مكينش محسن منك,"['وفقك', 'الله', 'لولاية', 'حقاش', 'مكينش', 'محسن', 'منك']"
4,لأنه بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله ميزان حسناته,1,لأنه بكل بساطة رئيس الحكومة يعتني بمعاق داخل بيته جعله الله ميزان حسناته,"['لأنه', 'بكل', 'بساطة', 'رئيس', 'الحكومة', 'يعتني', 'بمعاق', 'داخل', 'بيته', 'جعله', 'الله', 'ميزان', 'حسناته']"
5,صدق كيران أحسن رئيس حكومة مند الاستقلال تحياتي .,1,صدق كيران أحسن رئيس حكومة مند الاستقلال تحياتي,"['صدق', 'كيران', 'أحسن', 'رئيس', 'حكومة', 'مند', 'الاستقلال', 'تحياتي']"
6,"""حبنا ينتهي،",1,حبنا ينتهي,"['حبنا', 'ينتهي']"
7,"""تحية حب وإحترام الفايسبوك الملك الهمام",1,تحية حب وإحترام الفايسبوك الملك الهمام,"['تحية', 'حب', 'وإحترام', 'الفايسبوك', 'الملك', 'الهمام']"
8,أقـول: ملكنا واحد،، محمـد,1,أقـول ملكنا واحد محمـد,"['أقـول', 'ملكنا', 'واحد', 'محمـد']"
11,مغربنا وطنـــنــا روحــي فــداه...........ومـــن يدس حقوقه يـــــــدق رداه,1,مغربنا وطنـــنــا روحــي فــداه ومـــن يدس حقوقه يـــــــدق رداه,"['مغربنا', 'وطنـــنــا', 'روحــي', 'فــداه', 'ومـــن', 'يدس', 'حقوقه', 'يـــدق', 'رداه']"
12,أعشـقـك مـلكي تكــــون وحيثما تكـــــــــــون,1,أعشـقـك مـلكي تكــــون وحيثما تكـــــــــــون,"['أعشـقـك', 'مـلكي', 'تكـــون', 'وحيثما', 'تكـــون']"
13,حفظك الله شافاك عافاك بارك عمرك حبيب الملايين♥,1,حفظك الله شافاك عافاك بارك عمرك حبيب الملايين,"['حفظك', 'الله', 'شافاك', 'عافاك', 'بارك', 'عمرك', 'حبيب', 'الملايين']"
14,شكرا محمد السادس...♥,1,شكرا محمد السادس,"['شكرا', 'محمد', 'السادس']"
15,"""الصحراء مغربية شاء شاء أبى أبى",1,الصحراء مغربية شاء شاء أبى أبى,"['الصحراء', 'مغربية', 'شاء', 'شاء', 'أبى', 'أبى']"
